mwe,type,distance,baseline
gained_international_attention,gained_international_attention,MWE_LVC,1.1784566162370547,4.351922229059476
military_academy,military_academy,MWE_COMPOUND_NOUN,1.772206392312278,4.8219982195036115
adult_education_classes,adult_education_classes,MWE_COMPOUND_NOUN,1.4376989571042174,5.21016089452562
social_outcast,social_outcast,MWE_COMPOUND_NOUN,0.8327182981696151,8.233731883128815
housewarming_party,housewarming_party,MWE_COMPOUND_NOUN,1.4106626763318542,5.1096660831737335
draws_his_main_support,draws_his_main_support,MWE_LVC,2.6497980233710856,5.109857980523138
air_fare,air_fare,MWE_COMPOUND_NOUN,0.7888373511060441,4.587168572237235
financial_situation,financial_situation,MWE_COMPOUND_NOUN,1.0541603517210982,4.465342681381911
soy_sauces,soy_sauces,MWE_COMPOUND_NOUN,1.0319569375855762,3.418011621767252
interference_problems,interference_problems,MWE_COMPOUND_NOUN,1.26178987820229,5.189036300277055
trash_can,trash_can,MWE_COMPOUND_NOUN,2.5335453012678695,8.302496555405245
founding_member,founding_member,MWE_COMPOUND_NOUN,1.226323644726689,5.048682876090654
surfer_dude,surfer_dude,MWE_COMPOUND_NOUN,0.15799619263213274,4.760245834133675
gaseous_crowd_control,gaseous_crowd_control,MWE_COMPOUND_NOUN,1.5099100379531811,4.5727714719936525
ignition_conditions,ignition_conditions,MWE_COMPOUND_NOUN,1.2607572253333508,5.219997172235345
wedding_license,wedding_license,MWE_COMPOUND_NOUN,0.6387727887492547,5.1446704833477925
heavy_machinery,heavy_machinery,MWE_COMPOUND_NOUN,1.2486420649337422,4.5627977416085415
risk_ratio,risk_ratio,MWE_COMPOUND_NOUN,1.293703394299578,3.3977979648953536
present_day_members,present_day_members,MWE_COMPOUND_NOUN,3.1812851324005655,4.464546514445896
beam_bay,beam_bay,MWE_COMPOUND_NOUN,2.3099665559954543,4.244140090580777
political_societies,political_societies,MWE_COMPOUND_NOUN,2.1923376019352028,5.259436874214387
barnes_dance,barnes_dance,MWE_COMPOUND_NOUN,0.30029908151707696,4.9060900087713435
folk_music,folk_music,MWE_COMPOUND_NOUN,1.1420195326504925,4.686598291777737
constitutional_law,constitutional_law,MWE_COMPOUND_NOUN,1.715953890366011,4.416703188094146
pipe_bomb,pipe_bomb,MWE_COMPOUND_NOUN,0.4651282508443235,5.0107654957058205
field_goal,field_goal,MWE_COMPOUND_NOUN,1.5784770862630537,5.259137761406047
musical_tradition,musical_tradition,MWE_COMPOUND_NOUN,1.2217716984061506,5.146803966823391
eastern_bloc,eastern_bloc,MWE_COMPOUND_NOUN,1.086041731422071,5.177540146174436
social_democrats,social_democrats,MWE_COMPOUND_NOUN,0.5146608893482679,4.7013123844230975
per_capita,per_capita,MWE_OTHER,1.7878176803098522,5.072804266969603
campaign_chairman,campaign_chairman,MWE_COMPOUND_NOUN,0.849120140873039,4.11204182661558
frying_powder,frying_powder,MWE_COMPOUND_NOUN,0.12927226658781074,4.699765957111801
brought_him_in_contact,brought_him_in_contact,MWE_LVC,2.5587237328192547,5.1766123334739875
took_the_lead,took_the_lead,MWE_LVC,2.742412405712796,5.052340905236899
series_of_books,series_of_books,MWE_COMPOUND_NOUN,3.4944484119407173,8.331830879171877
test_results,test_results,MWE_COMPOUND_NOUN,1.071631805334626,4.911054255548293
paperback_sales,paperback_sales,MWE_COMPOUND_NOUN,0.4123166822464864,5.080951520975869
