mwe,type,distance,baseline
gained_international_attention,gained_international_attention,MWE_LVC,1.300888958729589,2.5261616427457687
military_academy,military_academy,MWE_COMPOUND_NOUN,1.4688428630397297,1.9928300138564257
adult_education_classes,adult_education_classes,MWE_COMPOUND_NOUN,1.5735643799069674,3.863841915905463
social_outcast,social_outcast,MWE_COMPOUND_NOUN,0.9284837124908276,6.731952190339368
housewarming_party,housewarming_party,MWE_COMPOUND_NOUN,1.4375348058366275,3.6909166663566113
draws_his_main_support,draws_his_main_support,MWE_LVC,2.6464959225992706,2.509378442792358
air_fare,air_fare,MWE_COMPOUND_NOUN,0.7930773990694413,2.145648178685639
financial_situation,financial_situation,MWE_COMPOUND_NOUN,1.177418894847433,1.028198981411672
soy_sauces,soy_sauces,MWE_COMPOUND_NOUN,0.8140669804837929,2.7230662550556866
interference_problems,interference_problems,MWE_COMPOUND_NOUN,1.255784753857523,4.785328862978593
trash_can,trash_can,MWE_COMPOUND_NOUN,2.67373301057197,0.3641614412139209
founding_member,founding_member,MWE_COMPOUND_NOUN,1.4628341108770668,3.8947375482798576
surfer_dude,surfer_dude,MWE_COMPOUND_NOUN,0.23681169352673445,3.7780338885306475
gaseous_crowd_control,gaseous_crowd_control,MWE_COMPOUND_NOUN,1.4007263554889815,2.6351884268664736
ignition_conditions,ignition_conditions,MWE_COMPOUND_NOUN,1.3156246306743427,4.883734443457793
wedding_license,wedding_license,MWE_COMPOUND_NOUN,0.702822021737189,4.203326903537243
heavy_machinery,heavy_machinery,MWE_COMPOUND_NOUN,1.2267640928324401,3.4934280359077095
risk_ratio,risk_ratio,MWE_COMPOUND_NOUN,1.2414834300805226,1.220734523846606
present_day_members,present_day_members,MWE_COMPOUND_NOUN,3.2122984946011104,3.7873618673158225
beam_bay,beam_bay,MWE_COMPOUND_NOUN,2.2100404518763344,2.2474717067872065
political_societies,political_societies,MWE_COMPOUND_NOUN,2.1085841811377843,4.241778655390801
barnes_dance,barnes_dance,MWE_COMPOUND_NOUN,0.2470793003141907,1.2791916574239373
folk_music,folk_music,MWE_COMPOUND_NOUN,1.1372699984339687,3.6279084534426995
constitutional_law,constitutional_law,MWE_COMPOUND_NOUN,1.6638926407525514,2.269474861829053
pipe_bomb,pipe_bomb,MWE_COMPOUND_NOUN,0.5393337566185245,3.6269849481982965
field_goal,field_goal,MWE_COMPOUND_NOUN,1.4746099066785427,4.949788666882253
musical_tradition,musical_tradition,MWE_COMPOUND_NOUN,1.4156287404055663,3.8465747093390763
eastern_bloc,eastern_bloc,MWE_COMPOUND_NOUN,1.1337083184377714,0.43912882588484214
social_democrats,social_democrats,MWE_COMPOUND_NOUN,0.712243822426527,2.098638664981897
per_capita,per_capita,MWE_OTHER,1.898124678944062,3.972466861392427
campaign_chairman,campaign_chairman,MWE_COMPOUND_NOUN,0.8608432721349456,3.2600048552499112
frying_powder,frying_powder,MWE_COMPOUND_NOUN,0.10201140189581752,0.7313697913757446
brought_him_in_contact,brought_him_in_contact,MWE_LVC,2.4546609672205886,4.761433458837055
took_the_lead,took_the_lead,MWE_LVC,2.903486212896203,4.284868469905464
series_of_books,series_of_books,MWE_COMPOUND_NOUN,3.5772549154205437,0.33085190019554067
test_results,test_results,MWE_COMPOUND_NOUN,1.0318512927220909,1.0150648833099292
paperback_sales,paperback_sales,MWE_COMPOUND_NOUN,0.265616589670619,3.998740711829038
narcotics_officers,narcotics_officers,MWE_COMPOUND_NOUN,0.1916480835163764,4.218080394119226
laser_beamlines,laser_beamlines,MWE_COMPOUND_NOUN,2.3022518375671357,4.955142478782523
wharf_area,wharf_area,MWE_COMPOUND_NOUN,1.2842046438044834,4.922002664148202
football_club,football_club,MWE_COMPOUND_NOUN,1.6947263846042373,3.8780360266579526
enemy_territory,enemy_territory,MWE_COMPOUND_NOUN,0.6545658103922783,4.526773936222352
practical_accuracy,practical_accuracy,MWE_COMPOUND_NOUN,1.0163100442561805,4.25471396241651
nomadic_wandering,nomadic_wandering,MWE_COMPOUND_NOUN,0.14862542939214674,3.537629917937007
alternative_energy,alternative_energy,MWE_COMPOUND_NOUN,0.9916776111366785,1.327322795308662
network_programs,network_programs,MWE_COMPOUND_NOUN,1.478384773225073,3.4712647514792074
motion_picture_news,motion_picture_news,MWE_COMPOUND_NOUN,0.9683538363167901,3.080647997760213
opposition_groups,opposition_groups,MWE_COMPOUND_NOUN,1.9114951730507324,3.743263116137844
value_added,value_added,MWE_COMPOUND_ADJ,1.9612529128001948,4.423598119261852
private_interests,private_interests,MWE_COMPOUND_NOUN,1.0812916793574943,4.4241269726155
made_one_appearance,made_one_appearance,MWE_LVC,2.9588734433655475,2.7643277531468655
prohibition_laws,prohibition_laws,MWE_COMPOUND_NOUN,1.0340260555713767,0.7218985337926653
frying_oil,frying_oil,MWE_COMPOUND_NOUN,0.725927985686597,5.06371200955001
put_into_storage,put_into_storage,MWE_LVC,2.157813327150299,5.5195429279958494
intoxication_tests,intoxication_tests,MWE_COMPOUND_NOUN,0.15010367263661473,4.1969596957523905
fusion_yield,fusion_yield,MWE_COMPOUND_NOUN,0.11163789667715887,3.5479220708500634
stop_sarah,stop_sarah,,1.4133611562876456,1.4958888038196554
holtzman_effect,holtzman_effect,MWE_COMPOUND_NOUN,1.811735565818864,1.6677943590943693
social_class_system,social_class_system,MWE_COMPOUND_NOUN,2.219240237276112,4.274423724842332
made_significant_changes,made_significant_changes,MWE_LVC,2.21816304979919,1.1976142799382445
cultural_movements,cultural_movements,MWE_COMPOUND_NOUN,0.39701769775508744,4.141033187033642
