mwe,type,distance,baseline
gained_international_attention,gained_international_attention,MWE_LVC,0.1274500254474496,2.608155107289442
military_academy,military_academy,MWE_COMPOUND_NOUN,0.6742135299943928,5.153016108652776
adult_education_classes,adult_education_classes,MWE_COMPOUND_NOUN,0.24073455717357148,2.5507804934980203
social_outcast,social_outcast,MWE_COMPOUND_NOUN,0.33346114593682424,4.712404086704576
housewarming_party,housewarming_party,MWE_COMPOUND_NOUN,0.6169875606365577,2.7296896517523748
draws_his_main_support,draws_his_main_support,MWE_LVC,1.9284963038329888,5.352104539135423
air_fare,air_fare,MWE_COMPOUND_NOUN,0.7192215797937378,2.331979015155582
financial_situation,financial_situation,MWE_COMPOUND_NOUN,0.33041647365370574,2.8101352808927196
soy_sauces,soy_sauces,MWE_COMPOUND_NOUN,0.11483587530036075,3.352658642748021
interference_problems,interference_problems,MWE_COMPOUND_NOUN,0.45255196097409645,5.218164410989559
trash_can,trash_can,MWE_COMPOUND_NOUN,1.424893420565377,4.698989420302199
founding_member,founding_member,MWE_COMPOUND_NOUN,0.5930726950326157,7.19631277245271
surfer_dude,surfer_dude,MWE_COMPOUND_NOUN,0.11200941695232595,5.076860398775605
gaseous_crowd_control,gaseous_crowd_control,MWE_COMPOUND_NOUN,0.5403059283198322,2.6932602042561724
ignition_conditions,ignition_conditions,MWE_COMPOUND_NOUN,0.5293128946315686,7.574068714976978
wedding_license,wedding_license,MWE_COMPOUND_NOUN,0.1854464165042021,7.13861946633717
heavy_machinery,heavy_machinery,MWE_COMPOUND_NOUN,0.40379115664938725,2.7770873362874284
risk_ratio,risk_ratio,MWE_COMPOUND_NOUN,0.29419651995902324,2.923675136338851
present_day_members,present_day_members,MWE_COMPOUND_NOUN,1.3178726315481577,2.65389383757659
beam_bay,beam_bay,MWE_COMPOUND_NOUN,0.5922628328065168,3.391845175810948
political_societies,political_societies,MWE_COMPOUND_NOUN,0.6467184681318061,7.5940142223068685
barnes_dance,barnes_dance,MWE_COMPOUND_NOUN,0.09347811803705723,5.083127936689475
folk_music,folk_music,MWE_COMPOUND_NOUN,0.7732354448555757,2.280207163225964
constitutional_law,constitutional_law,MWE_COMPOUND_NOUN,0.5423290099459921,2.2005322832621657
pipe_bomb,pipe_bomb,MWE_COMPOUND_NOUN,0.3831393080153744,7.170514371645175
field_goal,field_goal,MWE_COMPOUND_NOUN,0.6242446391730168,5.880986880247397
musical_tradition,musical_tradition,MWE_COMPOUND_NOUN,0.3035992931233536,7.125365401371008
eastern_bloc,eastern_bloc,MWE_COMPOUND_NOUN,0.3533393022135381,7.201473107948538
social_democrats,social_democrats,MWE_COMPOUND_NOUN,0.3095836232672038,2.2889047913181098
per_capita,per_capita,MWE_OTHER,0.29531394853824633,7.4297140219476825
campaign_chairman,campaign_chairman,MWE_COMPOUND_NOUN,0.2799110461919108,2.7014885661762484
frying_powder,frying_powder,MWE_COMPOUND_NOUN,0.14605949224716616,2.3390458951841886
brought_him_in_contact,brought_him_in_contact,MWE_LVC,2.622639937871738,7.561434638227258
took_the_lead,took_the_lead,MWE_LVC,0.6597771590534691,2.7585135937952168
series_of_books,series_of_books,MWE_COMPOUND_NOUN,3.466731569014361,4.761500157574398
test_results,test_results,MWE_COMPOUND_NOUN,0.4180861016776328,7.077773407733607
paperback_sales,paperback_sales,MWE_COMPOUND_NOUN,0.3062771261610961,5.934920163857134
narcotics_officers,narcotics_officers,MWE_COMPOUND_NOUN,0.29870506406487324,7.5078741356718925
laser_beamlines,laser_beamlines,MWE_COMPOUND_NOUN,0.8231984493805246,2.726466573283084
wharf_area,wharf_area,MWE_COMPOUND_NOUN,0.707596899204978,7.434586646071322
football_club,football_club,MWE_COMPOUND_NOUN,0.5479357906782967,2.7877367506755366
enemy_territory,enemy_territory,MWE_COMPOUND_NOUN,0.0944298409614249,7.361434077189852
practical_accuracy,practical_accuracy,MWE_COMPOUND_NOUN,0.20482745121015886,2.652433282762641
